url,strategy,performance,accessibility,best_practices,seo,error
https://www.bebeclub.co.id/membership/registration,desktop,28,86,74,100,
https://www.bebeclub.co.id/membership/registration,mobile,31,89,93,100,
https://www.bebeclub.co.id/membership,desktop,37,89,41,100,
https://www.bebeclub.co.id/membership,mobile,40,87,61,100,
https://www.bebeclub.co.id/membership/login,desktop,70,92,78,100,
https://www.bebeclub.co.id/membership/login,mobile,70,96,96,100,
https://www.bebeclub.co.id/membership/login-otp,desktop,55,91,78,92,
https://www.bebeclub.co.id/membership/login-otp,mobile,55,93,96,92,
https://www.bebeclub.co.id/membership/forgot-password,desktop,49,91,78,69,
https://www.bebeclub.co.id/membership/forgot-password,mobile,60,94,96,69,
https://www.bebeclub.co.id/,desktop,52,85,67,100,
https://www.bebeclub.co.id/,mobile,60,82,86,100,
https://www.bebeclub.co.id/produk,desktop,48,89,74,100,
https://www.bebeclub.co.id/produk,mobile,63,90,96,100,
https://www.bebeclub.co.id/produk/bebelac-3,desktop,55,86,63,92,
https://www.bebeclub.co.id/produk/bebelac-3,mobile,62,82,79,92,
https://www.bebeclub.co.id/produk/bebelac-4,desktop,52,89,67,92,
https://www.bebeclub.co.id/produk/bebelac-4,mobile,62,87,82,92,
https://www.bebeclub.co.id/produk/bebelac-gold,desktop,15,84,41,85,
https://www.bebeclub.co.id/produk/bebelac-gold,mobile,29,85,64,85,
https://www.bebeclub.co.id/produk/bebelac-gold-soya,desktop,26,81,41,85,
https://www.bebeclub.co.id/produk/bebelac-gold-soya,mobile,31,83,57,92,
https://www.bebeclub.co.id/produk/susu-formula-cair,desktop,37,85,63,92,
https://www.bebeclub.co.id/produk/susu-formula-cair,mobile,59,82,79,92,
https://www.bebeclub.co.id/membership,desktop,38,89,41,100,
https://www.bebeclub.co.id/membership,mobile,0,0,0,0,"HTTPSConnectionPool(host='www.googleapis.com', port=443): Read timed out. (read timeout=60)"
https://www.bebeclub.co.id/bebefriends,desktop,64,92,78,92,
https://www.bebeclub.co.id/bebefriends,mobile,70,95,96,92,
https://www.bebeclub.co.id/membership/upload-struk,desktop,49,92,78,92,
https://www.bebeclub.co.id/membership/upload-struk,mobile,66,96,93,92,
https://www.bebeclub.co.id/tools,desktop,44,92,78,100,
https://www.bebeclub.co.id/tools,mobile,62,90,96,100,
https://www.bebeclub.co.id/tools/poop-tracker,desktop,56,84,74,85,
https://www.bebeclub.co.id/tools/poop-tracker,mobile,59,84,89,85,
https://www.bebeclub.co.id/tools/bebe-journey,desktop,63,85,78,85,
https://www.bebeclub.co.id/tools/bebe-journey,mobile,61,88,93,85,
https://www.bebeclub.co.id/tools/bebestory,desktop,54,87,56,92,
